index_cpd	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	compound_cluster_id	cpd_smiles	master_cpd_id
421	CBB-1007	BRD-K84754008	66	probe	KDM1A	inhibitor of lysine-specific demethylase 1A (LSD1)	83;226;340;398;440;458;465;474;475;479	COC(=O)c1cc(CN2CCN(CC2)C(N)=N)cc(c1)C(=O)N1CCN(CC1)C(=O)c1ccc(cc1)C(N)=N	687721
422	BRD-K84807411	BRD-K84807411	66	GE-active		product of diversity oriented synthesis	95;109;191;321;354;435;459;473;478;479	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2c(NC(=O)c3cc(C)nn3C)cccc2C1=O	437906
423	sirolimus	BRD-K84937637	33	FDA	MTOR	inhibitor of mTOR	51;153;370;380;421;438;445;467;475;479	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O	56703
424	spautin-1	BRD-K84964099	66	probe	USP10;USP13	inhibitor of the deubiquitinase activity of USP13 and USP10	64;139;298;424;442;456;466;469;472;476;478;479	Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1	657183
425	BRD-K85133207	BRD-K85133207	66	probe	HDAC1	inhibitor of HDAC1	189;249;387;412;434;454;470;474;475;479	CC(=O)N[C@H]1C[C@H](C1)C(=O)Nc1cc(ccc1N)-c1ccc(F)cc1	616408
426	neratinib	BRD-K85606544	33	clinical	EGFR;ERBB2	inhibitor of EGFR and HER2	13;21;47;59;79;102;168;202;355;431;460;465;474;475;479	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C	418038
427	AZD7762	BRD-K86525559	66	clinical	CHEK1;CHEK2	inhibitor of checkpoint kinases 1 and 2	121;242;272;315;372;425;447;476;478;479	NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)-c1cccc(F)c1	660777
428	BRD-K86535717	BRD-K86535717	66	GE-active		product of diversity oriented synthesis	108;133;195;271;308;382;434;454;470;474;475;479	CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@@H](C)[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC	429535
429	BRD4132	BRD-K86574132	160	probe		screening hit	194;216;296;350;386;409;450;471;477	CC(C)N1C(=O)S\C(=C\c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O	3588
430	bafilomycin A1	BRD-K86787118	0.33	probe	ATP6V0A1	inhibitor of the vacuolar-type H+-ATPase	428;458;465;474;475;479	CO[C@H]1\C=C\C=C(C)\C[C@@H](C)[C@H](O)[C@H](C)\C=C(C)\C=C(OC)\C(=O)O[C@@H]1[C@@H](C)[C@@H](O)[C@H](C)[C@H]1C[C@@H](O)[C@H](C)[C@H](O1)C(C)C	467037
431	UNC0638	BRD-K86856088	33	probe	EHMT1;EHMT2	inhibitor of EHMT2 and GLP methyltransferase	69;164;310;371;430;457;461;467;475;479	COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1	594665
432	cediranib	BRD-K86930074	66	clinical	FLT1;FLT4;KDR	inhibitor of VEGFRs	301;347;421;438;445;467;475;479	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1	606136
433	OSI-027	BRD-K87124298	66	clinical	MTOR	inhibitor of mTORC1 and mTORC2	68;153;370;380;421;438;445;467;475;479	COc1cccc2cc([nH]c12)-c1nc([C@H]2CC[C@@H](CC2)C(O)=O)n2ncnc(N)c12	660433
434	veliparib	BRD-K87142802	33	clinical	PARP1;PARP2	inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2)	247;318;366;440;458;465;474;475;479	C[C@@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O	606034
435	L-685458	BRD-K87317732	37	probe	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	289;395;411;446;460;465;474;475;479	CC(C)C[C@H](NC(=O)[C@@H](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	411717
436	momelotinib	BRD-K87737963	66	clinical	JAK1;JAK2	inhibitor of Janus kinases 1 and 2	174;242;272;315;372;425;447;476;478;479	O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	660429
437	istradefylline	BRD-K87774949	33	clinical	ADORA2A	antagonist of the adenosine A2A receptor	366;440;458;465;474;475;479	CCn1c2nc(\C=C\c3ccc(OC)c(OC)c3)n(C)c2c(=O)n(CC)c1=O	687694
438	fingolimod	BRD-K88025533	66	FDA	S1PR1	inhibitor of sphingosine 1-phosphate receptor	111;287;313;371;430;457;461;467;475;479	CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1	640157
439	bortezomib	BRD-K88510285	0.13	FDA	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of 26S proteasome	8;171;379;401;425;447;476;478;479	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O	411737
440	CI-976	BRD-K88544581	270	probe	ACAT1	inhibitor of acetyl-CoA acetyltransferase I	317;337;409;450;471;477	CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC	375390
441	BRD-K88742110	BRD-K88742110	66	probe	HDAC8	inhibitor of HDAC8	115;324;402;453;466;469;472;476;478;479	COc1ccc(Cn2ccc3ccc(cc23)C(=O)NO)cc1	606670
442	tandutinib	BRD-K89162000	66	clinical	FLT3;KIT	inhibitor of c-KIT and VEGFR3	128;141;183;262;338;363;462;471;477	COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1	464458
443	BRD9876	BRD-K89329876	130	probe		screening hit	141;183;262;338;363;462;471;477	CC(C)(C)c1ccc2cc(C#N)c(cc2c1)C#N	19153
444	RG-108	BRD-K89391146	270	probe	DNMT1	inhibitor of DNA methyltransferase	217;385;422;447;476;478;479	OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O	411831
445	ML006	BRD-K89692698	530	probe	S1PR3	agonist of sphingosine 1-phosphate receptor 3	81;228;345;383;450;471;477	C1CN(CCO1)c1nnc(-c2ccccc2)c(n1)-c1ccccc1	17712
446	trifluoperazine	BRD-K89732114	33	FDA	DRD2	antagonist of dopamine receptor D2	124;197;313;371;430;457;461;467;475;479	CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1	26914
447	BRD-K90370028	BRD-K90370028	33	probe		screening hit	340;398;440;458;465;474;475;479	CC(=O)N[C@@H]1C\C=C\CCC(=O)N[C@@H](COC1=O)c1ccccc1	362207
448	GW-843682X	BRD-K90382497	33	probe	PLK1;PLK3	inhibitor of PLK1 and PLK3	65;132;227;336;358;372;425;447;476;478;479	COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(N)=O)c2cc1OC	348997
449	pitstop2	BRD-K90570971	66	probe	CLTA;CLTB;CLTC;CLTCL1	inhibitor of clathrin and clathrin-independent endocytosis	110;399;444;472;476;478;479	Brc1ccc(cc1)\C=C1/SC(NS(=O)(=O)c2cccc3ccccc23)=NC1=O	660985
450	bosutinib	BRD-K90746395	66	FDA	ABL1;SRC	inhibitor of SRC and ABL1	102;168;202;355;431;460;465;474;475;479	COc1cc(Nc2cc(nc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl	660346
451	MI-2	BRD-K90860366	66	probe	MEN1	binder of menin; inhibitor of menin-MLL fusion protein	266;346;398;440;458;465;474;475;479	CCCc1cc2c(ncnc2s1)N1CCN(CC1)C1=NCC(C)(C)S1	687714
452	O-6-benzylguanine	BRD-K92041145	66	clinical	MGMT	inhibitor of O(6)-alkylguanine DNA alkyltransferases	302;319;435;459;473;478;479	Nc1nc(OCc2ccccc2)c2[nH]cnc2n1	345712
453	doxorubicin	BRD-K92093830	66	FDA	TOP2A	inhibitor of topoisomerase II	72;224;240;312;404;423;445;467;475;479	COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO	36599
454	tosedostat	BRD-K92241597	270	clinical	ANPEP;LAP3;NPEPPS	inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N	311;432;451;454;470;474;475;479	CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1	417987
455	GSK461364	BRD-K92428232	66	clinical	PLK1	inhibitor of polo-like kinase 1 (PLK1)	7;50;75;85;199;227;336;358;372;425;447;476;478;479	C[C@@H](Oc1cc(sc1C(N)=O)-n1cnc2ccc(CN3CCN(C)CC3)cc12)c1ccccc1C(F)(F)F	649862
456	bexarotene	BRD-K92441787	66	FDA	RXRA;RXRB;RXRG	inhibitor of retinoid X receptors	251;339;389;463;473;478;479	Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C	374747
457	imatinib	BRD-K92723993	66	FDA	ABL1;BCR;KIT	inhibitor of BCR-ABL1 and c-KIT	78;206;407;430;457;461;467;475;479	CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1	345041
458	BRD-K92856060	BRD-K92856060	33	probe		screening hit	267;327;391;418;442;456;466;469;472;476;478;479	COc1ccc(cc1[N+]([O-])=O)S(=O)(=O)N(C(C)=O)c1ccc(OC(C)=O)c2ccccc12	119769
459	SMER-3	BRD-K92960067	66	probe	CUL1;SKP1	inhibitor of E3-ubiquitin ligase	234;295;394;437;449;461;467;475;479	O=C1c2ccccc2-c2nc3nonc3nc12	660286
460	PAC-1	BRD-K92991072	33	probe	CASP3	activator of procaspase-3	112;160;325;396;439;457;461;467;475;479	Oc1c(CC=C)cccc1\C=N\NC(=O)CN1CCN(Cc2ccccc2)CC1	411832
461	SJ-172550	BRD-K93095519	33	probe	MDM2;TP53	inhibitor of p53-MDM2 interaction	413;444;472;476;478;479	CCOc1cc(cc(Cl)c1OCC(=O)OC)\C=C1C(=O)N(N=C/1C)c1ccccc1	416777
462	RAF265	BRD-K93123848	66	clinical	BRAF;KDR	ihibitor of VEGFR2 and BRAF	245;323;404;423;445;467;475;479	Cn1c(Nc2ccc(cc2)C(F)(F)F)nc2cc(Oc3ccnc(c3)-c3ncc([nH]3)C(F)(F)F)ccc12	660414
463	AC55649	BRD-K93176058	33	probe	RARB	agonist of retinoic acid receptor beta	239;280;433;451;454;470;474;475;479	CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O	375487
464	ML334 diastereomer	BRD-K93367411	130	probe	KEAP1;NFE2L2	inhibitor of KEAP1-NFE2L2 protein-protein interaction	305;384;429;468;477	OC(=O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O	654278
465	vorapaxar	BRD-K93442924	66	clinical	F2R	antagonist of proteinase-activated receptor 1 (PAR1)	148;309;373;433;451;454;470;474;475;479	CCOC(=O)N[C@@H]1CC[C@@H]2[C@H](C[C@@H]3[C@@H]([C@@H](C)OC3=O)[C@H]2\C=C\c2ccc(cn2)-c2cccc(F)c2)C1	660136
466	tamoxifen	BRD-K93754473	100	FDA	ESR1;ESR2	modulator of estrogen receptors	193;294;383;450;471;477	CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	26972
467	quizartinib	BRD-K93918653	66	clinical	FLT3	inhibtor of VEGFR3	235;387;412;434;454;470;474;475;479	CC(C)(C)c1cc(NC(=O)Nc2ccc(cc2)-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc32)no1	640011
468	CHM-1	BRD-K94145482	16	probe		inhibitor of tubulin polymerization	35;60;75;85;199;227;336;358;372;425;447;476;478;479	Fc1ccccc1-c1cc(=O)c2cc3OCOc3cc2[nH]1	609674
469	BRD-K94991378	BRD-K94991378	83	probe		inducer of ROS	17;411;446;460;465;474;475;479	COCCOC(=O)N1C(=O)[C@]2([C@@H]([C@@H]3N([C@@H]2c2ccccc2OCCO)[C@H]([C@H](OC3=O)c2ccccc2)c2ccccc2)C(=O)NCC=C)c2cc(ccc12)C#CCC(C(=O)OC)C(=O)OC	53556
470	VAF-347	BRD-K96335988	66	probe	AHR	inhibitor of aryl hydrocarbon receptor	342;463;473;478;479	FC(F)(F)c1ccc(Nc2nccc(n2)-c2cccc(Cl)c2)cc1	659226
471	BRD-K96431673	BRD-K96431673	66	GE-active		product of diversity oriented synthesis	99;133;195;271;308;382;434;454;470;474;475;479	CN1CCN(CC1)C(=O)C[C@H]1CC[C@H](NC(=O)c2ccc3OCOc3c2)[C@@H](CO)O1	417262
472	pifithrin-mu	BRD-K96799727	33	probe	HSPA1A;HSPA1B;HSPA1L;TP53	inhibitor of p53 binding to mitochondria; inhibitor of HSP70	256;381;418;442;456;466;469;472;476;478;479	NS(=O)(=O)C#Cc1ccccc1	375596
473	BRD-K96970199	BRD-K96970199	66	GE-active		product of diversity oriented synthesis	99;133;195;271;308;382;434;454;470;474;475;479	C\C=C\c1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1	410703
474	BRD-K97651142	BRD-K97651142	66	probe		aphrocallistin derivative	32;64;139;298;424;442;456;466;469;472;476;478;479	CN(CCc1cc(Br)c(OCCCNc2ncnc3n(C)cnc23)c(Br)c1)C(=O)c1ccc(C)cc1	660135
475	GSK-J4	BRD-K98203492	66	probe	KDM6A;KDM6B	inhibitor of lysine-specific demethylases	378;424;442;456;466;469;472;476;478;479	CCOC(=O)CCNc1cc(nc(n1)-c1ccccn1)N1CCc2ccccc2CC1	687735
476	16-beta-bromoandrosterone	BRD-K98404142	37	probe		dehydroepiandrosterone (DHEA) analog	189;249;387;412;434;454;470;474;475;479	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1C[C@H](Br)C2=O	411726
477	pluripotin	BRD-K98538768	33	probe	MAPK1;RASAL1	promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK	169;355;431;460;465;474;475;479	CN1C(=O)N(Cc2cnc(Nc3cc(C)nn3C)nc12)c1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C	411833
478	BRD-K99006945	BRD-K99006945	66	probe		screening hit	55;408;453;466;469;472;476;478;479	CCN(CC)c1ccc(cc1)C1=NNC(=O)C[C@H]1C	687395
479	JW-480	BRD-K99655327	66	probe	NCEH1	inhibitor of serine hydrolase enzyme NCEH	364;406;456;466;469;472;476;478;479	CC(C)c1ccccc1OC(=O)NCCc1ccc2ccccc2c1	660227
480	linifanib	BRD-K99749624	66	clinical	FLT1;FLT3;KDR	inhibitor of VEGFRs	272;315;372;425;447;476;478;479	Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1	606033
481	BRD-M00053801	BRD-M00053801	66	probe	BCL2	inhibitor of BCL2	230;337;409;450;471;477	C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C.C[C@H](O)[C@@H]1[C@H](CO)ON(Cc2cccc(CN(CCN(C)C)[C@@H](C3CCCCC3)c3ccccc3)c2)[C@@H]1C(=O)N[C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C	660890
